"vocabulary_code","data_point_value","data_point_value_synonym"
"C71.7","brain stem (c71.7)","pons"
"C71.7","brain stem (c71.7)","pyramid"
"C71.7","brain stem (c71.7)","tectal"
"C71.8","overlapping lesion of brain (c71.8)","corpus callosum"
"C71.8","overlapping lesion of brain (c71.8)","overlapping lesion of brain"
"C71.8","overlapping lesion of brain (c71.8)","splenium"
"C71.8","overlapping lesion of brain (c71.8)","tapetum"
"C71.9","brain (c71.9)","anterior cranial fossa"
"C71.9","brain (c71.9)","brain"
"C71.9","brain (c71.9)","caudate"
"C71.9","brain (c71.9)","clinoidal"
"C71.9","brain (c71.9)","cranial base"
"C71.9","brain (c71.9)","cranial fossa"
"C71.9","brain (c71.9)","fossa"
"C71.9","brain (c71.9)","intracranial site"
"C71.9","brain (c71.9)","middle cranial fossa"
"C71.9","brain (c71.9)","parafalcine"
"C71.9","brain (c71.9)","posterior cranial fossa"
"C71.9","brain (c71.9)","posterior fossa"
"C71.9","brain (c71.9)","suprasellar"
"C72.0","spinal cord (c72.0)","c1"
"C72.0","spinal cord (c72.0)","c2"
"C72.0","spinal cord (c72.0)","c3"
"C72.0","spinal cord (c72.0)","c4"
"C72.0","spinal cord (c72.0)","c5"
"C72.0","spinal cord (c72.0)","c6"
"C72.0","spinal cord (c72.0)","c7"
"C72.0","spinal cord (c72.0)","cervical cord"
"C72.0","spinal cord (c72.0)","conus medullaris"
"C72.0","spinal cord (c72.0)","filum terminale"
"C72.0","spinal cord (c72.0)","l1"
"C72.0","spinal cord (c72.0)","l2"
"C72.0","spinal cord (c72.0)","l3"
"C72.0","spinal cord (c72.0)","l4"
"C72.0","spinal cord (c72.0)","lumbar"
"C72.0","spinal cord (c72.0)","lumbar cord"
"C72.0","spinal cord (c72.0)","medullary"
"C72.0","spinal cord (c72.0)","paraspinal"
"C72.0","spinal cord (c72.0)","presacral"
"C72.0","spinal cord (c72.0)","s1"
"C72.0","spinal cord (c72.0)","s2"
"C72.0","spinal cord (c72.0)","s3"
"C72.0","spinal cord (c72.0)","s4"
"C72.0","spinal cord (c72.0)","s5"
"C72.0","spinal cord (c72.0)","sacral"
"C72.0","spinal cord (c72.0)","sacral cord"
"C72.0","spinal cord (c72.0)","sacrum"
"C72.0","spinal cord (c72.0)","spinal canal"
"C72.0","spinal cord (c72.0)","spinal cord"
"C72.0","spinal cord (c72.0)","spinal fusion"
"C72.0","spinal cord (c72.0)","spinal tumor"
"C72.0","spinal cord (c72.0)","spine"
"C72.0","spinal cord (c72.0)","t1"
"C72.0","spinal cord (c72.0)","t10"
"C72.0","spinal cord (c72.0)","t11"
"C72.0","spinal cord (c72.0)","t12"
"C72.0","spinal cord (c72.0)","t2"
"C72.0","spinal cord (c72.0)","t3"
"C72.0","spinal cord (c72.0)","t4"
"C72.0","spinal cord (c72.0)","t5"
"C72.0","spinal cord (c72.0)","t6"
"C72.0","spinal cord (c72.0)","t7"
"C72.0","spinal cord (c72.0)","t8"
"C72.0","spinal cord (c72.0)","t9"
"C72.0","spinal cord (c72.0)","thoracic"
"C72.0","spinal cord (c72.0)","thoracic cord"
"C72.0","spinal cord (c72.0)","vertebrae"
"C72.0","spinal cord (c72.0)","vertebral"
"C72.1","cauda equina (c72.1)","cauda equina"
"C72.2","olfactory nerve (c72.2)","olfactory nerve"
"C72.3","optic nerve (c72.3)","optic chiasm"
"C72.3","optic nerve (c72.3)","optic nerve"
"C72.3","optic nerve (c72.3)","optic tract"
"C72.4","acoustic nerve (c72.4)","acoustic nerve"
"C72.5","cranial nerve (c72.5)","abducens nerve"
"C72.5","cranial nerve (c72.5)","accessory nerve"
"C72.5","cranial nerve (c72.5)","cranial nerve"
"C72.5","cranial nerve (c72.5)","facial nerve"
"C72.5","cranial nerve (c72.5)","glossopharyngeal nerve"
"C72.5","cranial nerve (c72.5)","hypoglossal nerve"
"C72.5","cranial nerve (c72.5)","oculomotor nerve"
"C72.5","cranial nerve (c72.5)","spinal accessory nerve"
"C72.5","cranial nerve (c72.5)","trigeminal nerve"
"C72.5","cranial nerve (c72.5)","trochlear nerve"
"C72.5","cranial nerve (c72.5)","vagus nerve"
"C72.8","overlapping lesion of brain and central nervous system (c72.8)","overlapping lesion of brain and central nervous system"
"C72.9","nervous system (c72.9)","central nervous system"
"C72.9","nervous system (c72.9)","epidural"
"C72.9","nervous system (c72.9)","extradural"
"C72.9","nervous system (c72.9)","nervous system"
"C72.9","nervous system (c72.9)","parasellar"
"C75.1","pituitary gland (c75.1)","hypophysis"
"C75.1","pituitary gland (c75.1)","pituitary"
"C75.1","pituitary gland (c75.1)","pituitary fossa"
"C75.1","pituitary gland (c75.1)","pituitary gland"
"C75.1","pituitary gland (c75.1)","pitutiary"
"C75.1","pituitary gland (c75.1)","rathke pouch"
"C75.1","pituitary gland (c75.1)","sella turcica"
"C75.2","craniopharyngeal duct (c75.2)","craniopharyngeal duct"
"C75.3","pineal gland (c75.3)","pineal"
"C75.3","pineal gland (c75.3)","pineal gland"
